Gene,Neutrophil,NK cell,Dendritic cell,Monocyte,Smooth muscle cell,IL-6,IL-12,IL-17,IL-23,CXCL1,CXCL2,IFNg,GM-CSF,Oxidative damage,VEGF,Cell adhesion,Cytoskeletal,Chemotaxis,Cell death,Inflammatory bowel disease
Mif,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Naaladl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nos2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Npc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Racgap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rorc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rps27a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
S100a9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Saa3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenbp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpina1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpina1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sod1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sod2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Spp1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stat3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Tagln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnf,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
Xdh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zg16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
